months_active,monthly_spend,support_tickets,late_payments,usage_score,previous_renewals,renewed,churned
39,2105,4,4,90,2,1,1
29,7575,5,5,64,5,1,1
15,11666,4,0,23,3,0,0
43,6663,5,4,55,3,0,1
8,10273,2,5,89,0,0,1
21,8325,3,3,50,2,0,1
39,9700,0,4,38,2,0,1
19,6374,4,0,80,2,1,0
23,6329,7,5,73,4,0,1
11,5212,4,5,58,1,0,1
11,4547,0,5,93,4,1,0
24,1462,5,3,38,1,0,1
36,2797,4,4,58,2,0,1
40,8793,6,3,86,2,1,1
24,12436,2,1,64,4,1,0
3,12734,3,1,32,4,0,0
22,2294,0,4,77,1,0,1
2,4103,3,3,39,3,0,1
24,4562,6,0,91,1,1,0
44,6031,4,5,80,4,1,1
30,2652,4,5,58,5,1,1
38,7384,7,4,20,4,0,1
2,2090,6,1,22,5,0,1
21,4380,0,1,96,0,1,0
33,12448,7,5,81,4,1,1
12,8353,2,4,82,0,0,1
22,8079,7,3,44,3,0,1
44,2435,1,1,75,1,1,0
25,4495,0,3,52,5,1,0
27,11990,1,1,57,1,0,0
42,12143,6,1,25,0,0,1
28,1497,5,2,77,5,1,0
16,11151,1,1,63,1,0,0
15,5536,2,0,64,4,1,0
47,1653,7,4,51,2,0,1
44,8963,5,4,64,0,0,1
3,6654,7,3,80,1,0,1
37,8191,1,1,66,0,0,0
7,7327,7,0,40,0,0,1
21,12465,6,3,99,5,1,0
9,6048,5,2,94,5,1,0
39,5971,6,3,55,2,0,1
18,2506,1,3,38,4,0,0
4,11768,6,1,39,0,0,1
25,6590,2,2,76,1,1,0
14,10724,1,3,37,3,0,1
9,6334,1,0,66,0,0,0
26,5730,1,0,68,0,1,0
2,4309,0,4,33,2,0,1
20,1001,7,2,34,4,0,1
28,12246,0,2,50,3,1,0
47,5017,0,4,20,5,1,1
7,9757,2,3,73,5,1,0
44,5188,5,2,22,1,0,1
8,3126,7,0,35,3,0,1
47,8803,6,0,76,5,1,0
35,3730,4,1,94,1,1,0
14,8576,1,2,31,4,0,0
17,996,6,3,93,1,0,1
36,7924,1,4,35,5,1,1
