volume_per_day,field_count,required_field_count,connector_complexity,schedule_minutes,retry_count,weak_mapping_count,transformation_count,failed_run,runtime_minutes
5000,16,4,0.48,30,3,1,2,0,4.8
12000,20,5,0.66,15,3,2,3,0,8.4
45000,28,7,0.78,30,2,4,6,1,27.5
80000,35,9,0.78,60,1,8,9,1,51.3
22000,24,6,0.61,15,3,3,5,0,14.9
7000,18,4,0.48,60,2,1,2,0,7.2
55000,30,8,0.72,30,2,5,8,1,34.1
18000,20,4,0.66,15,3,2,4,0,11.8
95000,38,10,0.78,60,1,9,11,1,64.4
30000,26,6,0.61,10,3,2,5,0,17.2
14000,22,5,0.48,15,4,1,3,0,9.6
67000,34,8,0.72,30,2,6,9,1,42.7
25000,26,7,0.66,15,3,3,4,0,16.5
42000,29,7,0.61,20,2,5,7,1,29.4
9000,18,4,0.48,15,3,1,2,0,6.2
73000,36,9,0.78,45,1,7,10,1,49.9
16000,22,5,0.66,30,3,2,3,0,12.4
36000,27,7,0.72,20,2,4,6,1,25.1
11000,19,4,0.61,15,4,1,3,0,8.0
61000,33,8,0.78,30,2,6,8,1,39.6
28000,25,6,0.66,15,3,3,5,0,18.8
52000,31,8,0.72,30,2,5,8,1,35.3
6000,17,4,0.48,30,3,1,2,0,5.6
88000,39,10,0.78,60,1,10,12,1,67.1
19000,23,5,0.61,15,3,2,4,0,13.8
47000,30,8,0.72,20,2,5,7,1,31.2
13000,21,5,0.48,10,4,1,3,0,8.9
76000,37,9,0.78,45,1,8,10,1,55.6
33000,27,6,0.66,15,3,3,5,0,22.0
59000,32,8,0.72,30,2,6,8,1,37.8

