monthly_spend,visits,income_score,loyalty_score,segment
3208.29,54.0,42.0,100.0,1
-1889.55,42.0,1.0,97.0,3
-4690.76,46.0,1.0,100.0,3
-1004.34,1.0,5.0,1.0,0
-3427.91,45.0,1.0,100.0,3
-1712.98,45.0,1.0,100.0,3
2714.36,56.0,38.0,100.0,1
1893.44,56.0,31.0,100.0,1
710.88,1.0,20.0,5.0,0
4140.87,50.0,51.0,100.0,1
-913.21,1.0,6.0,1.0,0
-2341.79,1.0,1.0,12.0,0
2774.79,56.0,38.0,100.0,1
8334.66,20.0,88.0,59.0,2
510.27,1.0,18.0,15.0,0
2445.78,53.0,36.0,100.0,1
4576.21,58.0,54.0,100.0,1
-1564.69,1.0,1.0,1.0,0
-394.93,1.0,10.0,9.0,0
-2093.55,40.0,1.0,93.0,3
9666.72,23.0,100.0,64.0,2
-2641.27,51.0,1.0,100.0,3
1236.88,1.0,25.0,1.0,0
11572.32,31.0,100.0,77.0,2
-3429.15,48.0,1.0,100.0,3
2131.05,53.0,33.0,100.0,1
1041.83,1.0,23.0,7.0,0
1990.12,60.0,31.0,100.0,1
8360.03,28.0,88.0,73.0,2
-669.88,1.0,8.0,19.0,0
9711.4,25.0,100.0,68.0,2
-2735.43,55.0,1.0,100.0,3
9144.61,29.0,95.0,75.0,2
-2099.57,58.0,1.0,100.0,3
-759.73,1.0,7.0,7.0,0
-2216.34,1.0,1.0,1.0,0
3782.69,60.0,47.0,100.0,1
3760.44,50.0,47.0,100.0,1
-356.0,1.0,11.0,13.0,0
-2206.15,54.0,1.0,100.0,3
-1107.92,1.0,4.0,5.0,0
11017.42,20.0,100.0,59.0,2
3177.14,60.0,42.0,100.0,1
2318.96,60.0,34.0,100.0,1
9865.69,26.0,100.0,68.0,2
-1457.48,1.0,1.0,12.0,0
9942.14,25.0,100.0,67.0,2
-986.24,1.0,5.0,7.0,0
-2370.36,45.0,1.0,100.0,3
-3555.37,42.0,1.0,96.0,3
8887.44,31.0,93.0,78.0,2
1708.72,57.0,29.0,100.0,1
-2405.08,45.0,1.0,100.0,3
-1479.19,1.0,1.0,9.0,0
3042.2,59.0,41.0,100.0,1
-1921.52,1.0,1.0,11.0,0
-1178.06,50.0,3.0,100.0,3
-966.3,1.0,5.0,11.0,0
2535.89,47.0,36.0,100.0,1
3549.12,60.0,45.0,100.0,1
-2674.42,43.0,1.0,99.0,3
10687.14,23.0,100.0,63.0,2
-2754.67,1.0,1.0,6.0,0
-2490.43,1.0,1.0,1.0,0
-2454.58,57.0,1.0,100.0,3
-4439.0,48.0,1.0,100.0,3
8913.75,30.0,93.0,76.0,2
-1895.1,43.0,1.0,99.0,3
9835.24,29.0,100.0,75.0,2
-103.99,1.0,13.0,6.0,0
1476.81,52.0,27.0,100.0,1
613.78,1.0,19.0,8.0,0
-7.98,1.0,14.0,2.0,0
228.91,1.0,16.0,7.0,0
-3367.62,43.0,1.0,99.0,3
-1105.55,45.0,4.0,100.0,3
3277.15,52.0,43.0,100.0,1
9581.92,23.0,99.0,64.0,2
1661.48,48.0,29.0,100.0,1
3157.9,45.0,42.0,100.0,1
2378.29,55.0,35.0,100.0,1
-1971.01,43.0,1.0,99.0,3
9049.59,29.0,94.0,75.0,2
-3423.7,42.0,1.0,98.0,3
-3008.84,46.0,1.0,100.0,3
-3828.04,46.0,1.0,100.0,3
3793.06,48.0,47.0,100.0,1
8529.03,36.0,90.0,86.0,2
8267.52,28.0,87.0,73.0,2
-1774.49,1.0,1.0,1.0,0
-223.14,48.0,12.0,100.0,3
3481.93,55.0,45.0,100.0,1
-637.95,1.0,8.0,22.0,0
-2256.65,48.0,1.0,100.0,3
-806.6,53.0,7.0,100.0,3
-3229.93,43.0,1.0,99.0,3
2464.96,59.0,36.0,100.0,1
9555.13,28.0,99.0,72.0,2
-1545.84,48.0,1.0,100.0,3
8455.24,22.0,89.0,62.0,2
-2485.68,43.0,1.0,99.0,3
3938.82,56.0,49.0,100.0,1
3044.86,52.0,41.0,100.0,1
7279.87,27.0,78.0,70.0,2
2194.98,1.0,33.0,16.0,0
9160.48,24.0,95.0,65.0,2
-612.24,1.0,8.0,1.0,0
-2704.28,43.0,1.0,100.0,3
10867.61,19.0,100.0,57.0,2
-1511.24,45.0,1.0,100.0,3
-2464.73,42.0,1.0,97.0,3
103.8,1.0,15.0,1.0,0
8884.32,23.0,93.0,64.0,2
8070.88,30.0,86.0,76.0,2
-2680.42,45.0,1.0,100.0,3
-564.28,1.0,9.0,2.0,0
-2258.75,49.0,1.0,100.0,3
9908.97,44.0,100.0,100.0,2
9597.48,20.0,99.0,59.0,2
-2696.82,52.0,1.0,100.0,3
2215.1,53.0,33.0,100.0,1
-594.16,1.0,8.0,7.0,0
9908.95,28.0,100.0,73.0,2
-3001.81,43.0,1.0,99.0,3
2462.08,52.0,36.0,100.0,1
230.29,58.0,16.0,100.0,1
-1777.37,1.0,1.0,8.0,0
-255.14,1.0,12.0,1.0,0
1274.78,1.0,25.0,1.0,0
10363.28,29.0,100.0,74.0,2
1916.52,51.0,31.0,100.0,1
-1124.06,1.0,4.0,1.0,0
-4482.33,50.0,1.0,100.0,3
-5312.65,44.0,1.0,100.0,3
3200.98,56.0,42.0,100.0,1
-1540.73,1.0,1.0,2.0,0
693.95,1.0,20.0,1.0,0
10727.06,26.0,100.0,69.0,2
3315.77,60.0,43.0,100.0,1
2905.8,49.0,40.0,100.0,1
1277.98,55.0,25.0,100.0,1
9442.42,21.0,98.0,60.0,2
-2236.05,43.0,1.0,98.0,3
-738.12,1.0,7.0,3.0,0
-1270.5,1.0,2.0,13.0,0
4471.34,52.0,54.0,100.0,1
-4284.83,53.0,1.0,100.0,3
-2918.03,45.0,1.0,100.0,3
-647.72,1.0,8.0,1.0,0
-2559.89,1.0,1.0,18.0,0
10149.34,29.0,100.0,74.0,2
-2764.76,1.0,1.0,18.0,0
2073.13,53.0,32.0,100.0,1
1141.21,1.0,24.0,21.0,0
-2762.75,54.0,1.0,100.0,3
-1852.88,46.0,1.0,100.0,3
8873.54,26.0,93.0,69.0,2
-2157.23,46.0,1.0,100.0,3
-1276.34,1.0,2.0,1.0,0
1842.24,56.0,30.0,100.0,1
3248.21,55.0,43.0,100.0,1
-1104.23,1.0,4.0,10.0,0
-3023.17,40.0,1.0,94.0,3
9745.4,23.0,100.0,63.0,2
9493.38,29.0,98.0,74.0,2
-4595.47,54.0,1.0,100.0,3
2320.06,53.0,34.0,100.0,1
-2579.47,1.0,1.0,17.0,0
-1842.66,1.0,1.0,9.0,0
10579.77,26.0,100.0,69.0,2
2867.19,59.0,39.0,100.0,1
4124.54,58.0,50.0,100.0,1
3284.58,59.0,43.0,100.0,1
-3131.47,1.0,1.0,6.0,0
8576.02,25.0,90.0,67.0,2
8690.94,30.0,91.0,76.0,2
-2346.24,45.0,1.0,100.0,3
4872.8,56.0,57.0,100.0,1
11203.14,28.0,100.0,72.0,2
9150.59,31.0,95.0,78.0,2
-3440.31,50.0,1.0,100.0,3
1567.05,55.0,28.0,100.0,1
2904.64,60.0,40.0,100.0,1
-1540.48,1.0,1.0,1.0,0
3889.16,56.0,48.0,100.0,1
7950.0,22.0,84.0,61.0,2
2393.42,56.0,35.0,100.0,1
-1795.9,56.0,1.0,100.0,3
-1854.45,54.0,1.0,100.0,3
10306.98,27.0,100.0,71.0,2
3210.7,58.0,42.0,100.0,1
3245.05,51.0,43.0,100.0,1
-1102.44,1.0,4.0,1.0,0
9746.2,28.0,100.0,73.0,2
10086.17,18.0,100.0,56.0,2
-1008.3,51.0,5.0,100.0,3
-88.81,1.0,13.0,8.0,0
-4506.2,54.0,1.0,100.0,3
3192.15,45.0,42.0,100.0,1
3297.37,46.0,43.0,100.0,1
-2096.65,1.0,1.0,6.0,0
9966.76,31.0,100.0,78.0,2
4008.81,58.0,49.0,100.0,1
-2404.15,45.0,1.0,100.0,3
2104.93,52.0,32.0,100.0,1
3011.61,48.0,41.0,100.0,1
2927.75,49.0,40.0,100.0,1
11594.87,29.0,100.0,74.0,2
-1680.64,45.0,1.0,100.0,3
-1249.34,1.0,3.0,15.0,0
8416.52,26.0,89.0,68.0,2
4393.61,48.0,53.0,100.0,1
-3544.47,39.0,1.0,92.0,3
-3214.34,49.0,1.0,100.0,3
-867.16,1.0,6.0,11.0,0
10226.72,35.0,100.0,84.0,2
2241.11,57.0,34.0,100.0,1
11771.56,17.0,100.0,54.0,2
9389.35,33.0,97.0,81.0,2
10496.85,31.0,100.0,77.0,2
-1735.25,1.0,1.0,5.0,0
955.79,54.0,22.0,100.0,1
9448.14,24.0,98.0,66.0,2
-3033.82,43.0,1.0,98.0,3
-2416.13,46.0,1.0,100.0,3
3036.69,45.0,41.0,100.0,1
1156.43,51.0,24.0,100.0,1
1411.45,51.0,26.0,100.0,1
11583.58,17.0,100.0,53.0,2
9898.55,30.0,100.0,76.0,2
-2326.59,56.0,1.0,100.0,3
229.06,1.0,16.0,3.0,0
9114.48,20.0,95.0,59.0,2
1750.44,56.0,29.0,100.0,1
-3572.64,49.0,1.0,100.0,3
-1110.21,1.0,4.0,17.0,0
2947.01,53.0,40.0,100.0,1
6021.18,21.0,67.0,61.0,2
2455.82,57.0,36.0,100.0,1
9121.91,22.0,95.0,63.0,2
-1860.78,1.0,1.0,2.0,0
1796.67,49.0,30.0,100.0,1
3031.82,53.0,41.0,100.0,1
-2664.87,47.0,1.0,100.0,3
7803.34,24.0,83.0,65.0,2
8635.55,29.0,91.0,74.0,2
10217.2,29.0,100.0,74.0,2
9662.27,30.0,100.0,75.0,2
10698.27,23.0,100.0,64.0,2
-3102.03,55.0,1.0,100.0,3
-2474.57,47.0,1.0,100.0,3
2237.9,55.0,34.0,100.0,1
2001.92,48.0,32.0,100.0,1
-323.7,1.0,11.0,18.0,0
-1010.83,1.0,5.0,5.0,0
-3259.17,45.0,1.0,100.0,3
-1056.54,1.0,4.0,15.0,0
-890.57,1.0,6.0,1.0,0
17.58,1.0,14.0,6.0,0
8133.58,24.0,86.0,66.0,2
-2566.26,48.0,1.0,100.0,3
10023.46,22.0,100.0,62.0,2
8461.1,27.0,89.0,70.0,2
8499.46,19.0,89.0,57.0,2
9436.14,21.0,98.0,60.0,2
4893.92,55.0,57.0,100.0,1
3783.71,48.0,47.0,100.0,1
-1715.88,1.0,1.0,9.0,0
-2654.34,1.0,1.0,8.0,0
-4202.01,50.0,1.0,100.0,3
3004.06,60.0,40.0,100.0,1
-3351.45,51.0,1.0,100.0,3
-3660.76,41.0,1.0,95.0,3
4458.67,53.0,53.0,100.0,1
-454.14,1.0,10.0,19.0,0
-4863.95,43.0,1.0,98.0,3
9101.97,38.0,95.0,91.0,2
-345.7,1.0,11.0,12.0,0
-3645.02,46.0,1.0,100.0,3
11065.44,19.0,100.0,57.0,2
2742.63,55.0,38.0,100.0,1
-2822.89,42.0,1.0,97.0,3
8920.44,26.0,93.0,70.0,2
-1846.05,1.0,1.0,4.0,0
-1523.52,1.0,1.0,1.0,0
9423.06,23.0,98.0,64.0,2
8619.96,27.0,90.0,71.0,2
-2358.11,1.0,1.0,22.0,0
-1011.35,1.0,5.0,1.0,0
1932.93,58.0,31.0,100.0,1
-2077.23,47.0,1.0,100.0,3
3706.04,55.0,47.0,100.0,1
2822.03,53.0,39.0,100.0,1
8765.9,30.0,92.0,76.0,2
-2510.63,51.0,1.0,100.0,3
-1902.51,48.0,1.0,100.0,3
9476.28,29.0,98.0,74.0,2
3316.02,51.0,43.0,100.0,1
-1990.36,1.0,1.0,12.0,0
563.28,1.0,19.0,7.0,0
9218.79,29.0,96.0,74.0,2
-2011.89,1.0,1.0,11.0,0
-2651.69,51.0,1.0,100.0,3
-3778.74,47.0,1.0,100.0,3
-3189.9,1.0,1.0,3.0,0
-3802.02,40.0,1.0,93.0,3
8555.63,25.0,90.0,68.0,2
8517.88,23.0,89.0,64.0,2
-4089.6,41.0,1.0,96.0,3
9296.09,27.0,96.0,72.0,2
2587.01,50.0,37.0,100.0,1
10081.71,24.0,100.0,66.0,2
10230.2,30.0,100.0,75.0,2
9354.26,26.0,97.0,70.0,2
1336.79,54.0,26.0,100.0,1
-1896.06,37.0,1.0,88.0,3
-657.65,1.0,8.0,1.0,0
206.98,1.0,16.0,13.0,0
